time_s,avg_temp_K,max_temp_K,min_temp_K,max_temp_rate_K_per_s,sensor_0_K,sensor_0_err_K,sensor_1_K,sensor_1_err_K,sensor_2_K,sensor_2_err_K,sensor_3_K,sensor_3_err_K,sensor_4_K,sensor_4_err_K,sensor_5_K,sensor_5_err_K,sensor_6_K,sensor_6_err_K,sensor_7_K,sensor_7_err_K,sensor_8_K,sensor_8_err_K,sensor_9_K,sensor_9_err_K,sensor_10_K,sensor_10_err_K,sensor_11_K,sensor_11_err_K,sensor_12_K,sensor_12_err_K,sensor_13_K,sensor_13_err_K,sensor_14_K,sensor_14_err_K,sensor_15_K,sensor_15_err_K,sensor_16_K,sensor_16_err_K,sensor_17_K,sensor_17_err_K,sensor_18_K,sensor_18_err_K,sensor_19_K,sensor_19_err_K,sensor_20_K,sensor_20_err_K,sensor_21_K,sensor_21_err_K,sensor_22_K,sensor_22_err_K,sensor_23_K,sensor_23_err_K,sensor_24_K,sensor_24_err_K,sensor_25_K,sensor_25_err_K,sensor_26_K,sensor_26_err_K,sensor_27_K,sensor_27_err_K,sensor_28_K,sensor_28_err_K,sensor_29_K,sensor_29_err_K,sensor_30_K,sensor_30_err_K,sensor_31_K,sensor_31_err_K,sensor_32_K,sensor_32_err_K,sensor_33_K,sensor_33_err_K,sensor_34_K,sensor_34_err_K,sensor_35_K,sensor_35_err_K,sensor_36_K,sensor_36_err_K,sensor_37_K,sensor_37_err_K,sensor_38_K,sensor_38_err_K,sensor_39_K,sensor_39_err_K,sensor_40_K,sensor_40_err_K,sensor_41_K,sensor_41_err_K,sensor_42_K,sensor_42_err_K,sensor_43_K,sensor_43_err_K,sensor_44_K,sensor_44_err_K,sensor_45_K,sensor_45_err_K,sensor_46_K,sensor_46_err_K,sensor_47_K,sensor_47_err_K,sensor_48_K,sensor_48_err_K,sensor_49_K,sensor_49_err_K,sensor_50_K,sensor_50_err_K,sensor_51_K,sensor_51_err_K,sensor_52_K,sensor_52_err_K,sensor_53_K,sensor_53_err_K,sensor_54_K,sensor_54_err_K,sensor_55_K,sensor_55_err_K,sensor_56_K,sensor_56_err_K,sensor_57_K,sensor_57_err_K,sensor_58_K,sensor_58_err_K,sensor_59_K,sensor_59_err_K,sensor_60_K,sensor_60_err_K,sensor_61_K,sensor_61_err_K,sensor_62_K,sensor_62_err_K,sensor_63_K,sensor_63_err_K,sensor_64_K,sensor_64_err_K,sensor_65_K,sensor_65_err_K,sensor_66_K,sensor_66_err_K,sensor_67_K,sensor_67_err_K,sensor_68_K,sensor_68_err_K,sensor_69_K,sensor_69_err_K,sensor_70_K,sensor_70_err_K,sensor_71_K,sensor_71_err_K,sensor_72_K,sensor_72_err_K,sensor_73_K,sensor_73_err_K,sensor_74_K,sensor_74_err_K,sensor_75_K,sensor_75_err_K,sensor_76_K,sensor_76_err_K,sensor_77_K,sensor_77_err_K,sensor_78_K,sensor_78_err_K,sensor_79_K,sensor_79_err_K,sensor_80_K,sensor_80_err_K,sensor_81_K,sensor_81_err_K,sensor_82_K,sensor_82_err_K,sensor_83_K,sensor_83_err_K,sensor_84_K,sensor_84_err_K,sensor_85_K,sensor_85_err_K,sensor_86_K,sensor_86_err_K,sensor_87_K,sensor_87_err_K,sensor_88_K,sensor_88_err_K,sensor_89_K,sensor_89_err_K,sensor_90_K,sensor_90_err_K,rms_tracking_error_K,power_in_W,power_out_W,radiation_W,energy_drift_rel
11,293.15,293.15,293.15,1.76215e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,5.04252e-11,1.57258e-08
12,293.15,293.15,293.15,1.64846e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,5.5231e-11,1.6028e-08
13,293.15,293.15,293.15,1.59162e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,6.00042e-11,1.59845e-08
14,293.15,293.15,293.15,1.64846e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,6.48546e-11,1.6154e-08
15,293.15,293.15,293.15,1.59162e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,6.97015e-11,1.60742e-08
16,293.15,293.15,293.15,1.59162e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,7.45169e-11,1.60725e-08
17,293.15,293.15,293.15,1.47793e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,7.92824e-11,1.61259e-08
18,293.15,293.15,293.15,1.3074e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,8.40067e-11,1.63126e-08
19,293.15,293.15,293.15,1.53477e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,8.8726e-11,1.61965e-08
20,293.15,293.15,293.15,1.42109e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,9.34671e-11,1.62107e-08
21,293.15,293.15,293.15,1.25056e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,9.81729e-11,1.60403e-08
22,293.15,293.15,293.15,1.42109e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,1.02798e-10,1.58881e-08
23,293.15,293.15,293.15,1.53477e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,1.07367e-10,1.57561e-08
24,293.15,293.15,293.15,1.42109e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,1.11903e-10,1.59559e-08
25,293.15,293.15,293.15,1.42109e-12,293.15,238.174,293.15,238.148,293.15,238.124,293.15,238.177,293.15,238.191,293.15,238.192,293.15,238.197,293.15,238.166,293.15,238.116,293.15,238.122,293.15,238.143,293.15,238.181,293.15,238.147,293.15,238.125,293.15,238.147,293.15,238.139,293.15,238.182,293.15,238.114,293.15,238.123,293.15,238.187,293.15,238.117,293.15,238.136,293.15,238.137,293.15,238.192,293.15,238.136,293.15,238.151,293.15,238.122,293.15,238.144,293.15,238.148,293.15,238.156,293.15,238.184,293.15,238.135,293.15,238.194,293.15,238.123,293.15,238.168,293.15,238.138,293.15,238.111,293.15,238.178,293.15,238.161,293.15,238.173,293.15,238.147,293.15,238.172,293.15,238.12,293.15,238.146,293.15,238.133,293.15,238.102,293.15,238.165,293.15,238.163,293.15,238.175,293.15,238.154,293.15,238.148,293.15,238.109,293.15,238.103,293.15,238.109,293.15,238.109,293.15,238.186,293.15,238.111,293.15,238.189,293.15,238.177,293.15,238.165,293.15,238.111,293.15,238.129,293.15,238.147,293.15,238.123,293.15,238.147,293.15,238.147,293.15,238.132,293.15,238.121,293.15,238.157,293.15,238.193,293.15,238.197,293.15,238.113,293.15,238.154,293.15,238.178,293.15,238.13,293.15,238.182,293.15,238.153,293.15,238.199,293.15,238.15,293.15,238.145,293.15,238.129,293.15,238.197,293.15,238.158,293.15,238.164,293.15,238.166,293.15,238.145,293.15,238.116,293.15,238.152,293.15,238.134,293.15,238.133,293.15,238.142,238.15,0,0,1.16402e-10,1.5822e-08
